date,titl,cont,tokens
2022-09-01,아파트 화장실 타일,건설 서초 랑자 전경 왼쪽 화장실 타일 터지 스카치테이프 서초 랑자 세대 화장실 모습 독자 제공 건설 일대 신축 서초 랑자 방배 랑자 대형 하자 발생 랑자 건설 한때 고급 신축 단지 허용 네임 웅장 거대 건설 주거 브랜드 자이 이름 아파트 입주민 여기저기 터지 하자 마음고생 단지 영화관 화장실 타일 깨지 소리 아이 지난해 자이 입주 이삿짐 직후 가슴앓이 건설 최고 주거 브랜드 자이 신축 기대감 이사 이후 집안 곳곳 각종 대형 주방 방안 벽지 일부분 전체 벽지 부분 화장실 화장실 타일 터지 무너지 시작 소리 단지 영화관 소용 아이 화장실 타일 터지 소리 전화 토로 건설 고급 단지 서초 랑자 일부 세대 입주 초기 지난해 각종 하자 속앓이 왼쪽 결로 창문 고드름 달리 성에 화장실 샤워 부스 깨지 벽지 모습 독자 제공 본지 사진 화장실 상태 벽면 타일 무너지 임시방편 스카치테이프 사고 연결 본지 확인 따르 서초 랑자 하자 속앓이 세대 화장실 샤워 부스 베란다 타일 세면대 이유 터지 결로 현상 창문 성애 고드름 사례 벽지 들뜨 현상 정도 서초 랑자 개동 세대 대표 단지 신축 아파트 입지 학군 전용 실거 가격 웃돈 고급 커뮤니티 시설 자랑 건설 서초 랑자 단지 영화관 만들 일대 보이 스카이라운지 구축 건설 자이 브랜드 홍보 호텔 수준 최고 커뮤니티 시설 서초 랑자 자랑 거론 서초 랑자 애칭 불리 상징 민원 제기 건설 대표 이사 이메일 건설사 일부 보수 성공 보통 경우 아파트 발생 침묵 집값 영향 올해 아파트 붕괴 사고 공익 생각 사고 징후 집값 두려워 쉬쉬 건설 기업 안전 불감증 고치 넘어가 붕괴 사고 일침 서초 랑자 입주민 건설 싸움 현재 진행형 서초 랑자 최근 폭우 침수 피해 입주민 대표 회의 최근 긴급 임시 입주자 대표 회의 침수 피해 규모 점검 손해 사정 선임 논의 진행 상당수 서초 랑자 입주민 그간 침수 피해 생각 동네 방배 랑자 난리 서초 랑자 시기 건설 신축 방배 랑자 각종 내부 대형 플래카드 기자 서초 랑자 건설 시기 신축 방배 랑자 세대 방배 랑자 과거 방배 아파트 건축 탄생 입주 시작 각종 악취 결로 고사목 방치 자재 하자 신음 방배 랑자 입주민 지난달 아파트 주차장 초입 건설 조합 부실시공 하자 입주민 대형 플래카드 아파트 소유주 집값 우려 관련 플래카드 공개 고려 이례 본지 방문 방배 랑자 아파트 초입 대형 플래카드 정원 복판 사목 식재 보수 건설 조경 보수 식재 계약 이행 대형 플래카드 근방 그루터기 나무 방배 랑자 입주자 대표 평균 나무 비중 정도 단지 수준 주장 건설 자이 로고 방배 랑자 입주민 건설 태도 분노 입주민 세대 건설 민원 접수 숱하 세대 민원 제기 모르쇠 처음 분통 그러 건설 언론 해결 건설 생각 목소리 입주민 이번 사건 건설 실망 나라 최고 건설사 하자 처리 태도 어울리 평가 허영 더불 의원 따르 건설 국토 심사 분쟁 조정 위원회 판정 건설 관계자 방배 랑자 냄새 원인 지적 자재 폐기물 정리 과거 관리 부족 해결 노력 상당 부분 협의 서초 랑자 관련 입주민 부분 다르 세상 사람 만족 완벽 건물 보수 기간 그러 침수 관련 손해 사정 건설사 보험 처리 부분 기자,건설 서초 랑자 전경 왼쪽 화장실 타일 터지 스카치테이프 서초 랑자 세대 화장실 모습 독자 제공 건설 일대 신축 서초 랑자 방배 랑자 대형 하자 발생 랑자 건설 한때 고급 신축 단지 허용 네임 웅장 거대 건설 주거 브랜드 자이 이름 아파트 입주민 여기저기 터지 하자 마음고생 단지 영화관 화장실 타일 깨지 소리 아이 자이 입주 이삿짐 직후 가슴앓이 건설 최고 주거 브랜드 자이 신축 기대감 이사 집안 곳곳 각종 대형 주방 방안 벽지 일부분 전체 벽지 부분 화장실 화장실 타일 터지 무너지 시작 소리 단지 영화관 소용 아이 화장실 타일 터지 소리 전화 토로 건설 고급 단지 서초 랑자 일부 세대 입주 초기 각종 하자 속앓이 왼쪽 결로 창문 고드름 달리 성에 화장실 샤워 부스 깨지 벽지 모습 독자 제공 본지 사진 화장실 상태 벽면 타일 무너지 임시방편 스카치테이프 사고 연결 본지 확인 서초 랑자 하자 속앓이 세대 화장실 샤워 부스 베란다 타일 세면대 이유 터지 결로 현상 창문 성애 고드름 사례 벽지 들뜨 현상 정도 서초 랑자 개동 세대 대표 단지 신축 아파트 입지 학군 전용 실거 가격 웃돈 고급 커뮤니티 시설 자랑 건설 서초 랑자 단지 영화관 만들 일대 보이 스카이라운지 구축 건설 자이 브랜드 홍보 호텔 수준 최고 커뮤니티 시설 서초 랑자 자랑 거론 서초 랑자 애칭 불리 상징 민원 제기 건설 대표 이사 이메일 건설사 일부 보수 성공 보통 경우 아파트 발생 침묵 집값 영향 아파트 붕괴 사고 공익 생각 사고 징후 집값 두려워 쉬쉬 건설 기업 안전 불감증 고치 넘어가 붕괴 사고 일침 서초 랑자 입주민 건설 싸움 현재 진행형 서초 랑자 최근 폭우 침수 피해 입주민 대표 회의 최근 긴급 임시 입주자 대표 회의 침수 피해 규모 점검 손해 사정 선임 논의 진행 상당수 서초 랑자 입주민 그간 침수 피해 생각 동네 방배 랑자 난리 서초 랑자 시기 건설 신축 방배 랑자 각종 내부 대형 플래카드 서초 랑자 건설 시기 신축 방배 랑자 세대 방배 랑자 과거 방배 아파트 건축 탄생 입주 시작 각종 악취 결로 고사목 방치 자재 하자 신음 방배 랑자 입주민 지난달 아파트 주차장 초입 건설 조합 부실시공 하자 입주민 대형 플래카드 아파트 소유주 집값 우려 관련 플래카드 공개 고려 이례 본지 방문 방배 랑자 아파트 초입 대형 플래카드 정원 복판 사목 식재 보수 건설 조경 보수 식재 계약 이행 대형 플래카드 근방 그루터기 나무 방배 랑자 입주자 대표 평균 나무 비중 정도 단지 수준 주장 건설 자이 로고 방배 랑자 입주민 건설 태도 분노 입주민 세대 건설 민원 접수 숱하 세대 민원 제기 모르쇠 처음 분통 그러 건설 언론 해결 건설 생각 목소리 입주민 이번 사건 건설 실망 나라 최고 건설사 하자 처리 태도 어울리 평가 허영 더불 의원 건설 국토 심사 분쟁 조정 위원회 판정 건설 관계자 방배 랑자 냄새 원인 지적 자재 폐기물 정리 과거 관리 부족 해결 노력 상당 부분 협의 서초 랑자 관련 입주민 부분 다르 세상 사람 만족 완벽 건물 보수 기간 그러 침수 관련 손해 사정 건설사 보험 처리 부분
2022-09-01,공시,마감 주요 공시 주식 투자 증권 위탁 처분 처분 목적 임직원 주식 교부 명시 처분 기간 다음 종속 회사 모빌리티 자동차 주식 취득 공시 자동차 인수 취득 목적 취득 예정 일자 다음 자동차 주식 취득 소유주 식수 지분 비율 건설 지구 재건축 정비 사업 조합 보증 결정 자본 대비 규모 채무 보증 기간 기술 하동 복합 호기 건설 사업 종합 설계 기술 용역 제공 계약 체결 계약 금액 최근 매출액 대비 규모 계약 기간 재무 구조 개선 투자 재원 확보 소재 토지 건물 시티 양도 결정 도금액 자산 총액 대비 규모 계열사 티슈 유진 투자 증권 보증 결정 자본 대비 규모 채무 보증 기간,마감 주요 공시 주식 투자 증권 위탁 처분 처분 목적 임직원 주식 교부 명시 처분 기간 다음 종속 회사 모빌리티 자동차 주식 취득 공시 자동차 인수 취득 목적 취득 예정 일자 다음 자동차 주식 취득 소유주 식수 지분 비율 건설 지구 재건축 정비 사업 조합 보증 결정 자본 대비 규모 채무 보증 기간 기술 하동 복합 호기 건설 사업 종합 설계 기술 용역 제공 계약 체결 계약 금액 최근 매출액 대비 규모 계약 기간 재무 구조 개선 투자 재원 확보 소재 토지 건물 시티 양도 결정 도금액 자산 총액 대비 규모 계열사 티슈 유진 투자 증권 보증 결정 자본 대비 규모 채무 보증 기간
2022-09-01,규모 수출 용신 연구 건설 공사 착공,지난달 수출 용신 연구 착공식 참석 관계자 기념 촬영 사진 제공 지난달 원자력 연구원 발주 규모 수출 용신 연구 부대시설 건설 공사 착공식 이날 행사 과학 기술 장관 시장 정동 국회의원 정부 지자체 국회 주요 인사 사장 원자력 연구 원장 관계자 참석 동남 방사선 과학 일반 들어서 수출 용신 연구 하부 구동 제어 장치 판형 핵연료 세계 처음 적용 최신 기술 적용 연구 원자로 지하 지상 개방 수조 원자로 관련 계통 이용 설비 조성 주간 지분 건설 수출 용신 연구 건설 공사 수주 공사 기간 착공 회사 이번 사업 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여 설명 회사 국내 처음 해외 수출 원자로 연구용 원자로 준공 국내 기업 원자력 설계 조달 시공 사업 수행 프로젝트 평가 업계 가동 원전 설계 기술 등급 자격 획득 최근 차세대 원전 소형 모듈 원자로 기술 개발 투자 컨소시엄 중소형 원전 표준 설계 획득 사업 참여 기술력 모델 사업 진출 공급 확보 관계자 원전 시장 설계 해체 방사성 폐기물 처리 시설 연구용 원자로 차세대 원전 기술력 종합 제공 기술력 유일 기업 지속 원전 기술 강화 국내 원전 기술 우수 세계 시장 알리 원전 사업 해외 원전 시장 적극 진출 수출 용신 연구 조감도 사진 제공,지난달 수출 용신 연구 착공식 참석 관계자 기념 촬영 사진 제공 지난달 원자력 연구원 발주 규모 수출 용신 연구 부대시설 건설 공사 착공식 이날 행사 과학 기술 장관 시장 정동 국회의원 정부 지자체 국회 주요 인사 사장 원자력 연구 원장 관계자 참석 동남 방사선 과학 일반 들어서 수출 용신 연구 하부 구동 제어 장치 판형 핵연료 세계 처음 적용 최신 기술 적용 연구 원자로 지하 지상 개방 수조 원자로 관련 계통 이용 설비 조성 주간 지분 건설 수출 용신 연구 건설 공사 수주 공사 기간 착공 회사 이번 사업 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여 설명 회사 국내 처음 해외 수출 원자로 연구용 원자로 준공 국내 기업 원자력 설계 조달 시공 사업 수행 프로젝트 평가 업계 가동 원전 설계 기술 등급 자격 획득 최근 차세대 원전 소형 모듈 원자로 기술 개발 투자 컨소시엄 중소형 원전 표준 설계 획득 사업 참여 기술력 모델 사업 진출 공급 확보 관계자 원전 시장 설계 해체 방사성 폐기물 처리 시설 연구용 원자로 차세대 원전 기술력 종합 제공 기술력 유일 기업 지속 원전 기술 강화 국내 원전 기술 우수 세계 시장 알리 원전 사업 해외 원전 시장 적극 진출 수출 용신 연구 조감도 사진 제공
2022-09-01,규모 수출 연구 착공,대형 원전 소형 모듈 원자로 원전 수출 용신 연구 조감도 지난달 원자력 연구원 발주 수출 연구 부대시설 조감도 건설 공사 착공식 착공식 과학 기술 정보 통신부 장관 시장 정동 국회의원 사장 원자력 연구 원장 참석 따르 동남 방사선 과학 일반 들어서 수출 연구 하부 구동 제어 장치 판형 핵연료 세계 최초 적용 최신 기술 적용 연구 원자로 이번 공사 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 주간 지분 건설 수출 연구 건설 공사 공사 기간 착공 관계자 이번 수출 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 공헌 설명 국내외 원전 건설 분야 입지 구축 국내 최초 해외 수출 원자로 연구용 원자로 준공 연구 원자로 원자 건물 부속 건물 동위 원소 생산 시설 교육 련동 설계 건설 국내 민간 기업 최초 원자력 설계 조달 시공 일괄 처리 사업 성공 수행 프로젝트 평가 차세대 원전 소형 모듈 원자로 기술 개발 지속 투자 출력 규모 이하 원자로 모듈 설계 제작 설계 단순 표준 특성 설명 최근 일부 조직 개편 원자력 사업단 신설 관계자 원전 시장 설계 해체 방사성 폐기물 처리 시설 연구용 원자로 차세대 원전 기술력 제공 기술력 유일 기업 지속 원전 기술 강화 원전 기술 우수 세계 시장 알리 원전 사업 해외 원전 시장 적극 진출,대형 원전 소형 모듈 원자로 원전 수출 용신 연구 조감도 지난달 원자력 연구원 발주 수출 연구 부대시설 조감도 건설 공사 착공식 착공식 과학 기술 정보 통신부 장관 시장 정동 국회의원 사장 원자력 연구 원장 참석 동남 방사선 과학 일반 들어서 수출 연구 하부 구동 제어 장치 판형 핵연료 세계 최초 적용 최신 기술 적용 연구 원자로 이번 공사 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 주간 지분 건설 수출 연구 건설 공사 공사 기간 착공 관계자 이번 수출 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 공헌 설명 국내외 원전 건설 분야 입지 구축 국내 최초 해외 수출 원자로 연구용 원자로 준공 연구 원자로 원자 건물 부속 건물 동위 원소 생산 시설 교육 련동 설계 건설 국내 민간 기업 최초 원자력 설계 조달 시공 일괄 처리 사업 성공 수행 프로젝트 평가 차세대 원전 소형 모듈 원자로 기술 개발 지속 투자 출력 규모 이하 원자로 모듈 설계 제작 설계 단순 표준 특성 설명 최근 일부 조직 개편 원자력 사업단 신설 관계자 원전 시장 설계 해체 방사성 폐기물 처리 시설 연구용 원자로 차세대 원전 기술력 제공 기술력 유일 기업 지속 원전 기술 강화 원전 기술 우수 세계 시장 알리 원전 사업 해외 원전 시장 적극 진출
2022-09-01,기장서 수출 용신 연구 착공식 개최,사장 앞줄 가운데 원자력 연구원 관계자 기장군 들어서 수출 용신 연구 동위 원소 활용 연구 센터 착공식 기념 촬영 제공 경제 기자 지난달 원자력 연구원 발주 수출 용신 연구 동위 원소 활용 연구 센터 건설 사업 착공식 동남 방사선 과학 일반 들어서 수출 용신 연구 원자력 관계 시설 설계 정성 예산 검토 조달청 발주 계약 착공 공공 공사 하부 구동 제어 장치 판형 핵연료 기술 세계 최초 적용 연구 원자로 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 지분 보유 주간 건설 수출 용신 연구 건설 공사 수주 공사 기간 착공 관계자 이번 수출 용신 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여 설명 이날 착공식 과학 기술 정보 통신부 장관 시장 정동 국회의원 사장 발주 원자력 연구 원장 포함 관계자 참석 국내 건설사 최초 가동 원전 설계 기술 등급 자격 획득 나라 수출 원자로 연구용 원자로 준공 국내외 원전 건설 분야 기술력 인정받 최근 차세대 원전 소형 모듈 원자로 기술 개발 투자 그룹 컨소시엄 중소형 원전 표준 설계 획득 사업 참여 기술력 해당 모델 사업 진출 공급 확보 관계자 원전 설계 건설 해체 방사성 폐기물 처리 시설 기술 연구용 원자로 기술력 제공 기술력 기업 지속 관련 기술 강화 강조,사장 앞줄 원자력 연구원 관계자 기장군 들어서 수출 용신 연구 동위 원소 활용 연구 센터 착공식 기념 촬영 제공 경제 지난달 원자력 연구원 발주 수출 용신 연구 동위 원소 활용 연구 센터 건설 사업 착공식 동남 방사선 과학 일반 들어서 수출 용신 연구 원자력 관계 시설 설계 정성 예산 검토 조달청 발주 계약 착공 공공 공사 하부 구동 제어 장치 판형 핵연료 기술 세계 최초 적용 연구 원자로 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 지분 보유 주간 건설 수출 용신 연구 건설 공사 수주 공사 기간 착공 관계자 이번 수출 용신 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여 설명 이날 착공식 과학 기술 정보 통신부 장관 시장 정동 국회의원 사장 발주 원자력 연구 원장 포함 관계자 참석 국내 건설사 최초 가동 원전 설계 기술 등급 자격 획득 나라 수출 원자로 연구용 원자로 준공 국내외 원전 건설 분야 기술력 인정받 최근 차세대 원전 소형 모듈 원자로 기술 개발 투자 그룹 컨소시엄 중소형 원전 표준 설계 획득 사업 참여 기술력 해당 모델 사업 진출 공급 확보 관계자 원전 설계 건설 해체 방사성 폐기물 처리 시설 기술 연구용 원자로 기술력 제공 기술력 기업 지속 관련 기술 강화 강조
2022-09-01,수출 용신 연구 건설 공사 착공,수출 용신 연구 착공 행사 제공 재판매 금지 기자 지난달 원자력 연구원 발주 수출 용신 연구 부대시설 건설 공사 사업 착공식 개최 사업 기장군 동남 방사선 과학 일반 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 공사 주간 지분 건설 수출 용신 연구 건설 공사 수주 공사 기간 착공 관계자 이번 수출 용신 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여,수출 용신 연구 착공 행사 제공 재판매 금지 지난달 원자력 연구원 발주 수출 용신 연구 부대시설 건설 공사 사업 착공식 개최 사업 기장군 동남 방사선 과학 일반 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 공사 주간 지분 건설 수출 용신 연구 건설 공사 수주 공사 기간 착공 관계자 이번 수출 용신 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여
2022-09-01,국내 수출 소형 원자로 착공 공사비,착공식 공사 기간 수출 용신 연구 착공 행사 파식 진행 사진 제공 기장군 들어서 국내 수출 소형 원자로 공사 시작 따르 원자력 연구원 발주 수출 연구 부대시설 건설 사업 착공식 진행 이날 행사 과학 기술 장관 시장 정동 의원 의원 사장 원자력 연구 원장 주요 인사 참석 시설 기장군 동남 방사선 과학 일반 하부 구동 제어 장치 판형 핵연료 세계 최초 적용 최신 기술 적용 연구 원자로 지하 지상 개방 수조 원자로 관련 설비 건설 프로젝트 주간 지분 건설 공사 수주 공사 기간 착공 공사비 규모 관계자 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여 설명 수출 연구 조감도 사진 제공 한편 해외 수출 원자로 연구용 원자로 성공 준공 기술력 인정받 국내 건설사 최초 가동 원전 설계 기술 등급 자격 획득 신규 원전 설계 건설 해체 국내 수주 도맡 시공 최근 차세대 원전 소형 모듈 원자로 기술 개발 지속 투자 경쟁력 강화 원전 분야 기술 독보 기업 향후 지속 원전 분야 기술 개발 주력 해외 원전 시장 적극 진출 계획,착공식 공사 기간 수출 용신 연구 착공 행사 파식 진행 사진 제공 기장군 들어서 국내 수출 소형 원자로 공사 시작 원자력 연구원 발주 수출 연구 부대시설 건설 사업 착공식 진행 이날 행사 과학 기술 장관 시장 정동 의원 의원 사장 원자력 연구 원장 주요 인사 참석 시설 기장군 동남 방사선 과학 일반 하부 구동 제어 장치 판형 핵연료 세계 최초 적용 최신 기술 적용 연구 원자로 지하 지상 개방 수조 원자로 관련 설비 건설 프로젝트 주간 지분 건설 공사 수주 공사 기간 착공 공사비 규모 관계자 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여 설명 수출 연구 조감도 사진 제공 한편 해외 수출 원자로 연구용 원자로 성공 준공 기술력 인정받 국내 건설사 최초 가동 원전 설계 기술 등급 자격 획득 신규 원전 설계 건설 해체 국내 수주 도맡 시공 최근 차세대 원전 소형 모듈 원자로 기술 개발 지속 투자 경쟁력 강화 원전 분야 기술 독보 기업 향후 지속 원전 분야 기술 개발 주력 해외 원전 시장 적극 진출 계획
2022-09-01,기장 수출 용신 연구 건설 규모,최신 기술 적용 연구 원자로 건설대 원전 원전 최근 원자력 전담 조직 원자력 사업단 신설 수출 용신 연구 조감도 사진 제공 경제 기장군 동남 방사선 과학 일반 들어서 수출 용신 형연 구로 건설 지난달 원자력 연구원 발주 수출 용신 연구 부대시설 건설 공사 사업 착공식 개최 이번 공사 하부 구동 제어 장치 판형 핵연료 최신 기술 적용 연구 원자로 건설 공사 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 주간 지분 건설 수출 형신 연구 건설 공사 수주 공사 기간 착공 관계자 이번 수출 용신 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여 국내외 원전 건설 분야 선도 입지 구축 국내 최초 해외 수출 원자로 연구용 원자로 준공 국내 민간 기업 최초 원자력 설계 조달 시공 일괄 처리 사업 성공 수행 프로젝트 평가 국내 건설사 최초 가동 원전 설계 기술 등급 자격 획득 신규 원전 설계 건설 해체 시공 기술 능력 방사성 폐기물 처리 시설 기술 기술력 바탕 국내 수주 시공 최근 차세대 원전 소형 모듈 원자로 기술 개발 지속 투자 경쟁력 강화 출력 규모 이하 원자로 모듈 설계 제작 설계 단순 표준 특성 차세대 원전 각광 기술 컨소시엄 중소형 원전 표준 설계 획득 사업 참여 기술력 해당 모델 사업 진출 공급 확보 기술력 확보 우리나라 기반 단계 진화 혁신 기술 개발 박차 가하 주관 협의 기술 개발 사업 참여 투자 적극 추진 계획 최근 일부 조직 개편 원자력 사업단 신설 원자력 분야 전문 강화 국내외 사업 영역 확장 관계자 원전 시장 설계 해체 방사성 폐기물 처리 시설 연구용 원자로 차세대 원전 기술력 제공 기술력 유일 기업 지속 원전 기술 강화 원전 기술 우수 세계 시장 알리 원전 사업 해외 원전 시장 적극 진출,최신 기술 적용 연구 원자로 건설대 원전 원전 최근 원자력 전담 조직 원자력 사업단 신설 수출 용신 연구 조감도 사진 제공 경제 기장군 동남 방사선 과학 일반 들어서 수출 용신 형연 구로 건설 지난달 원자력 연구원 발주 수출 용신 연구 부대시설 건설 공사 사업 착공식 개최 이번 공사 하부 구동 제어 장치 판형 핵연료 최신 기술 적용 연구 원자로 건설 공사 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 주간 지분 건설 수출 형신 연구 건설 공사 수주 공사 기간 착공 관계자 이번 수출 용신 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여 국내외 원전 건설 분야 선도 입지 구축 국내 최초 해외 수출 원자로 연구용 원자로 준공 국내 민간 기업 최초 원자력 설계 조달 시공 일괄 처리 사업 성공 수행 프로젝트 평가 국내 건설사 최초 가동 원전 설계 기술 등급 자격 획득 신규 원전 설계 건설 해체 시공 기술 능력 방사성 폐기물 처리 시설 기술 기술력 바탕 국내 수주 시공 최근 차세대 원전 소형 모듈 원자로 기술 개발 지속 투자 경쟁력 강화 출력 규모 이하 원자로 모듈 설계 제작 설계 단순 표준 특성 차세대 원전 각광 기술 컨소시엄 중소형 원전 표준 설계 획득 사업 참여 기술력 해당 모델 사업 진출 공급 확보 기술력 확보 우리나라 기반 단계 진화 혁신 기술 개발 박차 가하 주관 협의 기술 개발 사업 참여 투자 적극 추진 계획 최근 일부 조직 개편 원자력 사업단 신설 원자력 분야 전문 강화 국내외 사업 영역 확장 관계자 원전 시장 설계 해체 방사성 폐기물 처리 시설 연구용 원자로 차세대 원전 기술력 제공 기술력 유일 기업 지속 원전 기술 강화 원전 기술 우수 세계 시장 알리 원전 사업 해외 원전 시장 적극 진출
2022-09-01,수출 용신 연구 건설 사업 착공,지난달 원자력 연구원 발주 수출 용신 연구 부대시설 건설 공사 사업 착공식 개최 이날 착공식 과학 기술 장관 시장 정동 국회의원 정부 지자체 국회 주요 인사 사장 발주 원자력 연구 원장 관계자 참석 수출 용신 연구 조감도 제공 사업 동남 방사선 과학 일반 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 공사 하부 구동 제어 장치 판형 핵연료 기술 세계 최초 적용 예정 주간 지분 건설 수출 용신 연구 건설 공사 수주 공사 기간 착공 관계자 이번 수출 용신 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여,지난달 원자력 연구원 발주 수출 용신 연구 부대시설 건설 공사 사업 착공식 개최 이날 착공식 과학 기술 장관 시장 정동 국회의원 정부 지자체 국회 주요 인사 사장 발주 원자력 연구 원장 관계자 참석 수출 용신 연구 조감도 제공 사업 동남 방사선 과학 일반 지하 지상 개방 수조 원자로 관련 계통 이용 설비 건설 공사 하부 구동 제어 장치 판형 핵연료 기술 세계 최초 적용 예정 주간 지분 건설 수출 용신 연구 건설 공사 수주 공사 기간 착공 관계자 이번 수출 용신 연구 건설 그동안 수입 의존 방사성 동위 원소 국내 수급 안정 제품 수출 능력 확보 고부 가치 의료 서비스 산업 활성 산업 창출 기여
2022-09-01,건설 차세대 에탄올 개발 착수,카사바 펄프 폐기물 활용 체결 진행 차세대 에탄올 기술 개발 협력 체결 건설 신사업 부문 대표 왼쪽 대표 가운데 안티 아로마 공동 대표 오른쪽 기념 촬영 건설 제공 건설 에너지 기업 카사바 폐기물 이용 차세대 에탄올 개발 건설 지난달 건설 신사업 부문 대표 에너지 대표 관계자 참석 가운데 차세대 에탄올 기술 개발 협력 체결 이번 건설 세계 최초 카사바 폐기물 에탄올 생산 프로젝트 추진 카사바 가공 과정 발생 부산물 카사바 펄프 활용 폐기물 분류 건설 활용 에너지 대표 에너지 회사 신재 에너지 자회사 카사바 펄프 원료 에탄올 생산 기술 보유 대표 양사 협력 활용 폐기물 이용 차세대 에탄올 생산 사업 신호탄 기대 향후 친환경 디지털 기반 신사업 기회 발굴 국내 대표 지속 가능 경영 기업 노력 지속 영경 기자,카사바 펄프 폐기물 활용 체결 진행 차세대 에탄올 기술 개발 협력 체결 건설 신사업 부문 대표 왼쪽 대표 안티 아로마 공동 대표 오른쪽 기념 촬영 건설 제공 건설 에너지 기업 카사바 폐기물 이용 차세대 에탄올 개발 건설 지난달 건설 신사업 부문 대표 에너지 대표 관계자 참석 차세대 에탄올 기술 개발 협력 체결 이번 건설 세계 최초 카사바 폐기물 에탄올 생산 프로젝트 추진 카사바 가공 과정 발생 부산물 카사바 펄프 활용 폐기물 분류 건설 활용 에너지 대표 에너지 회사 신재 에너지 자회사 카사바 펄프 원료 에탄올 생산 기술 보유 대표 양사 협력 활용 폐기물 이용 차세대 에탄올 생산 사업 신호탄 기대 향후 친환경 디지털 기반 신사업 기회 발굴 국내 대표 지속 가능 경영 기업 노력 지속 영경
